"name", "segment", "country", "website", "description"
"BardeenQ Labs", "Hardware", "US", "https://www.waves.bardeenq.com/", "BardeenQ Labs aims to fully unlock the potential of the emerging technological revolution by building technologies utilizing the “quantum advantage”. To do this, they are creating a coherent platform to develop quantum technologies and spin-out products (called Quanta). Their first product, BardeenQ Waves, will be quantum-enabled vision systems and quantum AI chips to guarantee the safety of self-driving cars using a technology based upon ambient temperature quantum devices. The company was founded in 2019 and is located in the San Francisco Bay Area and Houston, Texas."
"Beit", "Software", "Poland", "http://beit.tech/", "Beit was founded in 2016 and is based in Kraków, Poland. Their main goal is to design and implement an algorithm for solving all relevant NP-complete class of problems using quantum computers. NP-complete problems are abstractions relevant for many real world problems encountered in logistics, manufacturing and warehousing at scale. Their research is co-financed by the European Funds under the Operational Program for Intelligent Development 2014-2020 with a grant that totals 10.9 Polish Zlotys (about $2.9 million USD) from all parties."
"Black Brane Systems", "Software", "Canada", "https://blackbrane.com/", "Incorporated in February 2016, Black Brane Systems is a quantum machine learning and computing start-up located in Toronto. They provide a cloud-based, virtualized 128-qubit Virtual Quantum Machine (VQM) service called BLACKSTONE which can serve as a target simulator for quantum programs written in Microsoft’s Q# language. Underlying Blackstone is a proprietary breakthrough in data structures that allows an unprecedented level of scalability for quantum calculations on classical computers."
"Bleximo", "Hardware", "US", "http://bleximo.com/", "Bleximo is building superconducting qubit based quantum accelerators which they call “qASIC” that work in conjunction with conventional powerful computers to tackle problems which are impractical or even impossible to solve on conventional digital computers alone. The company’s initial focus will be on providing quantum accelerators for simulating the structure and properties of molecules and chemical reactions. By modeling the behavior of certain molecules, Bleximo aims to help optimize drug discovery and drug design for pharmaceutical applications. Bleximo was established in 2017 and is based in Berkeley, California."
"Boxcat", "Software", "Canada", "http://boxc.at/", "Founded in 2017 and located in Toronto, Canada, Boxcat leverages the power of quantum computing to render images and videos faster, cheaper, and more efficiently than current methods. They are targeting the media and medical imaging industries as potential customers for their solution."
"bra-ket science", "Hardware", "US", "https://www.bra-ketscience.net/", "Formed in June 2017 and based in Austin, Texas, bra-ket science is developing a new approach to practical room temperature qubit storage. Their first publications and patent filings are currently in process and more information on them will be published when it is available."
"BraneCell", "Hardware", "US", "https://branecell.com/", "Founded in 2015 and headquartered in Cambridge, Massachusetts, BraneCell is building a new quantum microprocessor which can operate in an ambient environment. Their technology uses single molecule condensation and anti-condensation paired reactions in an ambient temperature apparatus. By their nature, these apparatus are artificial intelligence facile and allow for portable quantum computing because of the practical, moderate operating temperature. BraneCell’s approach is a little unique because they are targeting their technology to be used by individual customers in-house rather than access through a cloud environment."
"C12 Quantum Electronics", "Hardware", "France", "http://c12qe.com/", "None"
"Cambridge Space Technologies", "Communications", "UK", "https://www.cambridgespacetechnologies.com/", "Cambridge Space Technologies' mission is to provide provably secure cryptography globally. They aim to provide direct access for government and commercial users to quantum keys distributed via satellites in low earth orbit. Their first project will place a CubeSat into Low Earth Orbit (LEO) using currently available infrastructure and launch systems to facilitate a new standard of secure communications. The company was founded in April 2019 and is located in Cambridge, UK."
"Cambridge Quantum Computing Limited (CQC)", "Multiple", "UK", "http://cambridgequantum.com/", "CQC is company based in the United Kingdom with a focus on developing a Quantum Operating System including a platform for developing a quantum processor, and on related algorithms and software. CQC has built a proprietary operating system for Quantum Computers (t|ket>) and has a suite of quantum algorithms for applications and programmes in various stages of development. CQC has been working in the quantum computational chemistry area and recently announced they have successfully implemented state-of-the-art quantum algorithms on the IBM 16 qubit quantum computer to calculate the excited states of molecules that take into account multi-reference characteristics."
"Chicago Quantum", "Consulting", "US", "https://www.chicagoquantum.com/", "Chicago Quantum, a division of US Advanced Computing Infrastructure, Inc. and located near Chicago, Illinois, was started in 2018 to focus on helping enterprise, commercial clients apply quantum computing to solve business problems. They also provide strategic solutions for information security, sourcing of IT services, and program management."
"ClassiQ", "Software", "Israel", "https://www.classiq.io/", "Founded in early 2020 and based in Haifa, Israel, ClassiQ bridges the gap between complex quantum logic to real-world development and applications. ClassiQ tackles the most urgent and complex challenges in quantum computing development."
"CogniFrame", "Software", "Canada", "https://www.cogniframe.com/", "CogniFrame, based in Toronto and founded in 2016 has built a "Financial Services Operating Layer" that sits on top of the quantum cloud to solve complex optimization and simulation type problems. Their focus is on creating quantum computing applications and current projects are with several large global financial institutions.  They partner with leading quantum hardware providers and are a founding member of Quantum Industry Canada."
"ColdQuanta", "Hardware", "US", "https://www.coldquanta.com/", "ColdQuanta was founded in 2007 as a spin-off from the University of Colorado Boulder. They develop and design instruments, components and systems for scientific and industrial quantum applications such as cold atom experimentation, quantum simulation, quantum information processing, atomic clocks and inertial sensing. In August 2018, ColdQuanta received seed venture financing of $6.75 million and recently they announced a sponsorship of research at the University of Wisconsin – Madison to accelerate commercialization of neutral atom based quantum computing technology. Their goal is to eventually move up the chain and market quantum computing devices in addition to their current subsystem and component level product lines."
"Crypta Labs", "Communications", "UK", "https://www.cryptalabs.com/", "Crypta Labs, founded in 2014 and based in London, UK, has developed Quantum Random Number Generators (QRNGs) to produce truly random numbers for use in encryption. Their patent pending technology uses the quantum properties of light from a mobile device's lens and the light sensors to detect the photons beams and they count these photons to generate a random number. "
"Crypto Quantique", "Communications", "UK", "https://www.cryptoquantique.com/", "Crypto Quantique has developed a chip that generates complete random cryptographic keys using quantum tunneling. They combine this with their their cryptographic APIs and key management system to provide a secure end-to-end IoT security platform. Crypto Quantique was founded in 2016 and is located in London, UK."
"CryptoNext Security", "Communications", "France", "http://cryptonext-security.com/", "Formed in 2018 as a spin-off from INRIA, Paris and the Sorbonne University, and located in Paris, France, CryptoNext (formerly known as PQAT) develops quantum resistant algorithms for post-quantum cryptography. Their CryptoNext Quantum-Safe Library, is a cryptographic library that provides basic cryptographic public-key functionalities: quantum-safe signature and quantum-safe key-exchange (more precisely, Key Encapsulation Mechanism). The library offers a selection of the most promising quantum-safe algorithms selected at IETF and at the second stage of the NIST post-quantum standardization process."
"D Slit Technologies", "Software", "Japan", "http://d-slit.tech/", "Founded in June, 2018 and located in Tokyo, Japan, D Slit Technologies is a company that solves business problems by utilizing the principles of quantum mechanics. Their services include developing algorithms to implement applications on a quantum computer, providing a wide range of consulting support on quantum computing, and investigating the latest research on quantum computers and supporting proof-of-concept (PoC) demonstrations."
"Delft Circuits", "Hardware", "Netherlands", "http://www.delft-circuits.com/", "Delft Circuits is based in Delft, The Netherlands and provides quantum hardware solutions. Their Cri/oFlex® product line, is an ultra-low thermal conductance and massively scalable cryogenic I/O solution using superconducting circuits on flexible substrates. They also design and fabricate custom-engineered superconducting quantum circuits and cryogenic instrumentation."
"Driven Quantum Technologies", "Multiple", "US", "http://drivenquantumtechnologies.com/", "Driven Quantum Technologies was founded in April 2019 and is based in the Washington, DC area. They are involved in the development of IP for eventual technology licensing to companies involved in designing quantum computing related products for quantum sensing/metrology, quantum biology, military/intelligence, medical/assistive, and other applications.  The company is still in stealth mode."
"D-Wave Systems Inc.", "Hardware", "Canada", "http://www.dwavesys.com/", "D-Wave was one of the earliest commercial companies formed to pursue quantum computing. There were founded in 1999 in Vancouver, Canada with the goal of making practical quantum computing a reality and have focused on developing a series of adiabatic quantum annealing processors that can be used with quadratic unconstrained binary optimization (QUBO) problems. Their latest machine is a 2000 qubit machine called the D-Wave 2000Q. D-Wave offers this machine for sale to customers who wish to install a machine on-site. D-Wave also provides offers cloud computing services for customers who wish to access this capability remotely. In addition to the hardware, D-Wave also offers a full suite of software development tools and libraries to help their customers accelerate the development of applications for use on the machine."
"EeroQ", "Hardware", "US", "http://eeroq.com/", "EeroQ is a quantum hardware start-up based in New York and Lansing, Michigan formed earlier in 2017. They are working on developing a unique quantum chip that would have potential advantages over other qubit technologies. Their technology is based upon an electronics on helium approach which is described here. EeroQ is co-founded by Professor Johannes Pollanen at Michigan State University (MSU), Nick Farina and Faye Wattleton. Professor Pollanen has funding from MSU and an NSF grant, and EeroQ has additional private investors."
"Elyah", "Software", "UAE", "https://www.elyah.io/", "Elyah is a quantum software company that actively builds and improves upon existing quantum algorithms to make them faster and easier to implement for future quantum computer applications. They were founded in 2018 and are based in Dubai, UAE."
"Entanglement Partners", "Consulting", "Spain", "http://www.entanglementpartners.com/", "Entanglement Partners is a consulting firm with headquarters in Barcelona, Spain that provides consulting services in the areas of Events & Communications, Go-to-Market, Infrastructure, Quantum Applications, Strategic Consulting, and Venture Building. They have additional resources in Madrid, Spain, San Jose, California, and Kerala, India."
"Entropica Labs", "Software", "Singapore", "https://www.entropicalabs.com/", "Entropica Labs is a Singapore based quantum software company. They are focusing on using quantum computing for computational genomics applications in market segments such as healthcare, pharmaceuticals, and agritech. Entropica Labs has support from the SGInnovate, Creative Destruction Lab and Entrepreneur First (EF)."
"equal1.labs", "Hardware", "Ireland and U.S.", "https://equal1.us", "equal1.labs has been developing silicon based quantum computer technology since 2017 in collaboration with the University College Dublin. Their hardware development laboratory is in Fremont, California and their silicon design center is at NovaUCD in Dublin, Ireland. They are using a  GlobalFoundries FDX-22nm FD-SOI process to develop silicon based qubit chip with integrated control electronics. Their next test chip will integrate 424 qubits into a controllable quantum gate matrix allowing efficient implementations with C3NOT arrays with adjustable connectivity. "
"evolutionQ", "Communications", "Canada", "http://www.evolutionq.com/index.html", "evolutionQ offers a suite of proprietary products and services including quantum risk assessments, roadmap design and implementation, quantum safe hardware and software, and education services to allow organizations to avoid quantum security threats to their IT infrastructure. They are based in Waterloo, Ontario, Canada and were formed in 2015."
"EYL", "Communications", "South Korea", "https://www.eylpartners.com/", "EYL provides an tiny 5-millimeter quantum random number generator chip based upon a radioactive isotope method. EYL is also developing an ultralight chip encrypter for all IoT devices as well as a thin film-type quantum random generator for ID and credit cards. The company was formed in 2015 and is headquartered in Seoul, South Korea with additional offices in Arlington, Virginia."
"GTN LTD", "Software", "UK", "https://gtn.ai/index.html", "GTN innovates a quantum machine learning technology to transform drug discovery. They were founded in May 2017 and based in London, England. Their patented technology, called Generative Tensorial Networks, searches the astronomically large space of drug-like molecules. The software combines and builds upon techniques from machine learning and quantum physics to simulate, filter and search for molecules, halving development costs and discovering molecules entirely hidden from view. GTN participates in the Prosperity Partnership, funded by the UK’s Engineering and Physical Sciences Research Council (EPSRC), which is a collaboration between the UCL Quantum Science and Technology Institute, Google Quantum AI Lab and the University of Bristol Quantum Information Institute to harness the power of quantum computers for applications in modelling and simulation."
"H-Bar Consultants", "Consulting", "Australia", "http://www.h-bar.com.au/", "Headquartered in Melbourne, Australia and founded by experts in quantum physics and technology, h-bar is the first consultancy specializing in quantum technology. They act as intermediaries and/or advisors for organizations looking to make investments or investigate issues related to quantum technology. They can advise clients globally on both business and technical issues."
"High Precision Devices (HPD)", "Hardware", "US", "http://www.hpd-online.com/", "HPD designs and delivers advanced cryogenic instruments and research equipment to support quantum information and superconducting supercomputing development companies. Their systems solutions, including probe stations and scanning probe microscopy, deliver very low temperature and vibration environments with excellent optical and electrical access. HPD is a private company formed in 1993 and located in Boulder, Colorado."
"Horizon Quantum Computing", "Software", "Singapore", "http://horizonquantum.com/", "Launched in January 2018, Horizon Quantum Computing is a Singapore-based early stage start-up focused on building software development tools to drive the next computing revolution."
"HQS Quantum Simulations", "Software", "Germany", "https://quantumsimulations.de/", "Formed in 2018 and based in Karlsruhe, German, HQS Quantum Simulations (formerly Heisenberg Quantum Simulations) is developing quantum algorithms to predict molecular properties for performance materials, specialty chemicals and pharmaceutical companies. They also have developed a port between ProjectQ and Cirq, called CirqProjectQ. This port is a ProjectQ backend which can convert a ProjectQ algorithm to native Xmon gates that can be used to simulate a Google quantum computer with ProjectQ."
"Huawei", "Other", "China", "https://www.huawei.com/en/?ic_medium=direct&ic_source=surlent", "Although they are definitely not a startup company, Huawei is privately held by their employees and is the largest telecommunications equipment manufacturer in the world. They are based in Shenzhen, China and achieved revenue of about $92 billion USD in 2017. They recently announced the HiQ Quantum Computing Simulation Cloud Service Platform and have described it as their first step in the research and innovation of quantum computing."
"ID Quantique", "Communications", "Switzerland", "http://www.idquantique.com/", "ID Quantique, based in Switzerland, provides quantum-safe network encryption, secure quantum key generation and quantum key distribution solutions and services to the financial industry, enterprises and government organizations globally."
"InfiniQuant", "Communications", "Germany", "http://infiniquant.com/", "InfiniQuant is located in Erlangen, Germany and hosted at the Max Planck Institute for the Science of Light. They are in an early startup phase and are focusing on the development of Continuous Variable Quantum Key Distribution (CV-QKD) products based upon satellite and telecom fiber quantum channels."
"IonQ", "Hardware", "US", "http://ionq.co/", "IonQ is a new startup based in College Park, Maryland being formed by scientists at the University of Maryland and Duke University. They will be pursuing quantum computing based upon trapped ion technology. We will publish more information on them as it becomes available."
"IQM Finland", "Hardware", "Finland", "http://meetiqm.com/", "Founded in 2018 and based in Espoo, Finland, IQM is building scalable hardware for universal general purpose quantum computer based upon superconducting qubits. They were founded as spin-off of the Quantum Computing and Devices research group of Aalto University. IQM is making use of a patented patented quantum-circuit refrigerator technology that was originally developed at the Quantum Computing and Device research group."
"ISARA", "Communications", "Canada", "https://www.isara.com/", "Based in Waterloo, Ontario, Canada and founded in 2015, ISARA provides quantum computer resistant software products and also provides customers with quantum readiness security planning. A key product is the ISARA Radiate Security Solution Suite which provides public key encryption and digital signature algorithms which cannot be broken by a quantum computer using Shor’s algorithm to factor a large prime number or by any other known classical or quantum algorithm."
"Janis Research", "Hardware", "US", "https://www.janis.com/Applications/QuantumComputing.aspx", "Janis Research is a private company and is the only U.S. commercial manufacturer of dilution refrigerators for superconducting quantum computers. They were founded in 1961 and are located in Woburn, Massachusetts. For quantum computing applications, Janis offers the JDry series of cryogen-free dilution refrigerators with two different standard sized models along with a LabVIEW™ based JACoB gas handling controller to make running the refrigerators an easy task."
"Jij", "Software", "Japan", "https://j-ij.com/", "Jij conducts R & D and software development aimed at practical application of annealing machines by a team mainly composed of experts who are conducting theoretical research on quantum annealing and applied research on real world problems. They are developing OSS software for the Ising Model (QUBO) called OpenJij. They were established in November 2018 and are located in Tokyo, Japan."
"JoS QUANTUM", "Software", "Germany", "https://jos-quantum.de/", "Founded in 2018 and located in Frankfurt am Main, Germany, JoS Quantum will provide software algorithms for quantum computers to speed up and improve the financial service industry. They plan on providing software packages, system integration services and an API to access quantum computers remotely with a particular focus on optimization problems for use cases such as risk management, fraud detection, trading, and more. Besides developing their own products they will also provide research-as-a-service (RaaS) and consulting services for knowledge transfer and software integration."
"Ketita Labs", "Software", "Estonia", "http://ketita-labs.com/", "Founded in 2018, Ketita Labs OÜ is an Estonian university spin-off. They develop software for near-term quantum computers."
"KETS Quantum Security", "Communications", "UK", "http://kets-quantum.com/", "KETS Quantum Security is based in Bristol, United Kingdom and has developed a range of technologies for quantum-secured communications, including quantum key distribution (QKD) and quantum random number generation (QRNG). Their devices are based on integrated photonic technologies leading to miniaturization, cost-effective manufacture, and complex functionality. KETS provides consulting services and joint development services to assist SMEs and global corporation in the custom development of quantum-secured solutions."
"kiutra", "Hardware", "Germany", "https://kiutra.com/", "Kiutra develops fully-automatic solutions that generate cryogenic temperatures in the Kelvin and sub-Kelvin regime for quantum computers using a magnetic refrigeration technique. Unlike other technologies, their approach does not require use of the Helium-3 isotope which can be in short supply. They indicate their solution is user-friendly, low-maintenance and scalable. The company is a spinoff of the Technical University of Munich (TUM), was founded in July 2018 and is located near Munich, Germany."
"Labber Quantum", "Software", "US", "http://quantum.labber.org/", "Based in Cambridge, Massachusetts, Labber Quantum develops control solutions for experimental quantum computing. Their product provides an interface between the quantum devices and the classical electronics needed for control and manipulation. The software handles instrument control, signal generation, qubit calibration and dynamical error suppression. This ensures that users get the most out of their qubits and allows them to accurately implement the intended quantum algorithms. The software is designed to work with any qubit type and instrument vendor, allowing flexibility in terms of hardware. Labber Quantum was acquired by Keysight Technologies in March 2020."
"Low Noise Factory", "Hardware", "Sweden", "https://www.lownoisefactory.com/", "Low Noise Factory designs and sells very high performance room temperature and cryogenic low noise amplifiers. The bulk of their sales is to the quantum computing market and they are part of part of EU funded OpenSuperQ (An Open Superconducting Quantum Computer) project. Low Noise Factory is based in Göteborg, Sweden and was founded in 2005."
"Magiq", "Communications", "US", "http://www.magiqtech.com/", "Magiq with R&D facilities in Somerville, Massachusetts previously developed quantum key distribution products called the QPN-8505 and Q-Box. These are no longer actively marketed as standard products, but Magiq will develop custom solutions for customers based upon the technology that they developed for these products."
"MDR", "Software", "Japan", "http://mdrft.com/en/", "Based in Tokyo and established in 2008, MDR Corporation develops hardware, middleware and applications for quantum computing, collaborating with Japanese domestic companies, organizations and universities. MDR provides a Python based SDK (Software Development Kit) called Blueqat for universal gate model quantum computers and MDR Superfast, an NVIDIA CUDA based simulator. MDR recently announced an agreement with D-Wave to use their quantum computers to develop quantum computing applications for machine learning and optimization problems which you can view by clicking here."
"Menten", "Software", "Canada", "https://menten.ai/", "Menten is a biotech startup developing a software platform for protein design using next-generation technology that leverages machine learning and quantum computing. The team has made significant progress towards their goal by developing the first fully scalable algorithm for peptide and protein design on a quantum computer and creating the world’s first peptide designed on a quantum computer. Menten was founded in August 2018 and they are located in Toronto, Canada."
"M-Labs", "Multiple", "Hong Kong", "http://m-labs.hk/", "Founded in 2007 and located in Hong Kong, M-Labs main project today is ARTIQ (Advanced Real-Time Infrastructure for Quantum physics), a leading-edge control system for quantum information experiments. This hardware and software solution was originally developed in partnership with the Ion Storage Group at NIST, and is now used and supported by a growing number of research institutions worldwide."
"Multiverse Computing", "Software", "Spain", "http://multiversecomputing.com/", "Multiverse Computing provides software for companies in the financial industry that want to gain an edge with quantum computing. Their fields of expertise include portfolio optimization problems, risk analysis, and market simulation. They were formed in December 2017 and are based in San Sebastián, Basque Country, Spain."
"NetraMark", "Software", "Canada", "https://netramark.com/", "Located in the Toronto, Canada area and formed in late 2015, NetraMark uses classical and quantum machine learning to help pharmaceutical companies with failing or failed clinical trials and also to predict novel drug targets. They believe that their analytical tools can reveal insights about safety, placebo, and response that lead to massive savings in time and money for pharmaceutical companies. NetraMark is another alumni of Toronto’s Creative Destruction Lab’s Quantum Machine Learning program and they are currently working with several pharmaceutical companies to apply their technology."
"NextGenQ", "Hardware", "France", "https://www.nextgenq.com/", "Founded in 2019 and based in Rennes, Brittany, France, NextGenQ is working to build a quantum computer using ion trap technology."
"Nordic Quantum Computing Group (NQCG)", "Software", "Norway", "http://nqcg.com/", "NQCG, originally formed in 2000 and based in Oslo, Norway, is developing platform agnostic quantum software building on the latest advances in superconducting qubits and photonic quantum computing. Their applications R&D team is primarily developing hybrid quantum-classical and full quantum algorithms and applications for the financial services and industrial technology sectors, focusing on pursuing quantum advantage in the three quantum information technology core areas of simulation, optimization and artificial intelligence, as well as development of chip designs for optimized performance of quantum algorithms."
"Nu Quantum", "Communications", "UK", "http://nu-quantum.com/", "Founded in September 2018 and located in London, UK, Nu Quantum is a spin-out from the Cavendish Lab at the University of Cambridge developing quantum security technology."
"ODE, L3C", "Software", "US", "https://odestar.com/", "ODE's mission is to change the world by solving non-deterministic polynomial-time hardness chemistry problems with quantum algorithms running on any suitable computing platform including classic, hybrid classic-quantum digital or analog hardware.  They have developed an algorithm called Quantum Learned Electrons and Nuclei (QLEAN) which they believe can provide better simulations than currently available computational chemistry packages that implement the Born-Oppenheimer (BO) approximation.  ODE is based in Spokane, Washington and was formed in December 2018."
"Orange Quantum Systems", "Consulting", "Netherlands", "https://orangeqs.com/", "Orange Quantum Systems provides an engineering service for labs that do research into quantum physics and quantum computing technology. Their team has a proven track record for designing, engineering, procuring and delivering complex experimental setups. This know-how is also being used to develop our own product line of quantum computers, which they are co-developing with their innovation partners.  Orange Quantum Systems was spun out of QuTech in April 2020 and is located in Delft, The Netherlands."
"ORCA Computing", "Hardware", "UK", "https://www.orcacomputing.com/", "Based in London, UK and founded in September 2019, ORCA Computing is developing a scalable and flexible quantum computing using photonic technology. They have a proprietary quantum memory technology which allows storage and greater synchronization of quantum operations. This enables a ‘repeat-until-successful’ operation, rather than requiring a large number of separate components that work in parallel."
"Origin Quantum Computing", "Hardware", "China", "http://www.originqc.com.cn/index.html?lang=en_US", "Origin Quantum Computing was founded on September 2017 in Heifei, China by the doctoral team of the quantum information laboratory at the Chinese Academy of Sciences. They say that they are the first startup company in China whose main business is the development and application of quantum computers and indicate they will release China’s first quantum computing control system very soon. They have released a quantum software development kit called Qpanda 2.0 on GitHub which can be use to create quantum circuits and experiments on various quantum computers. Origin Quantum Computing has developed a 2 qubit chip based on quantum dot technology and a 6 qubit chip based on superconducting technology. They are also working on a full quantum computer as well as quantum cloud service platforms for both quantum simulators and quantum hardware chips."
"Oxford Ionics", "Hardware", "UK", "https://www.ipgroupplc.com/our-portfolio/portfolio/oxford-ionics", "Founded in April 2019 and located in Oxford, UK, Oxford Ionics is a new quantum computing spin-out from the Department of Physics at the University of Oxford. working to create a commercially viable ion trap based quantum computer."
"Oxford Quantum Circuits", "Hardware", "UK", "http://oxfordquantumcircuits.com/", "Oxford Quantum Circuits was founded in June 2017 by Professor Peter Leek, who is based at the Clarendon Laboratory Oxford, and is aiming to build a quantum computer based upon a superconducting circuit approach to forming qubits. The intention is to leverage the latest technology in this field and overcome the key challenge that has confounded researchers to date scaling the system up to a large number of qubits. Parkwalk Opportunities Fund Inc provided them with Series A funding in September 2017 for an undisclosed amount."
"ParityQC", "Other", "Austria", "https://parityqc.com/", "ParityQC (short for Parity Quantum Computing) was founded in January 2020 in Innsbruck, Austria and is a spin-off from the University of Innsbruck. They are a quantum architecture company which develops blueprints for quantum computers to solve optimization problems. The architecture delivers the instruction set and layout for quantum chips, be it digital or analog. They have a related software suite called ParityOS which optimizes the quantum algorithms as well as the hardware parameters. Their belief is that the co-development of hardware design and quantum algorithms facilitates the advantage of a perfectly aligned quantum computer for optimization problems. The architecture is based on the LHZ architecture and is compatible with all current hardware platforms including both gate-based and annealing methods. This allows them to provide a fully programmable, parallelizable (no SWAP gates), and scalable architecture which can be built with a greatly reduced complexity and a quantum optimization architecture which is independent from the problem."
